[00:01:32 -> 00:01:32]  It's coming back.
[00:31:55 -> 00:31:57]  never told a lie to you in my entire,
[00:31:57 -> 00:31:58]  in my entire relationship.
[00:32:03 -> 00:33:04]  Damn it.
[00:33:28 -> 00:33:29]  You caught me.
[00:33:29 -> 00:33:30]  You caught me, bro.
[00:33:31 -> 00:33:32]  It's 3,000.
[00:34:04 -> 00:34:07]  Hold on, I'm trying to switch my, uh,
[00:34:24 -> 00:34:24]  nailed it.
[00:34:25 -> 00:35:16]  Are you, are you saying, Nix, that you can
[00:35:16 -> 00:35:18]  match the funds that we have?
[00:35:22 -> 00:35:23]  I saw you,
[00:35:23 -> 00:35:26]  I saw you a few days ago reach,
[00:35:26 -> 00:35:28]  I reached into your
[00:35:28 -> 00:35:30]  vault, randomly,
[00:35:30 -> 00:35:32]  and pulled out 80 gold, okay?
[00:35:34 -> 00:35:38]  Hey, I think,
[00:35:38 -> 00:35:40]  why am I the one on trial here?
[00:35:40 -> 00:35:42]  And I feel like you're, you've been holding out on us
[00:35:42 -> 00:35:43]  this entire time.
[00:35:45 -> 00:35:48]  Okay, that, that
[00:35:48 -> 00:35:49]  dynamic shouldn't change.
[00:35:50 -> 00:35:52]  This is, this is emergency
[00:35:52 -> 00:35:54]  funds for
[00:35:54 -> 00:35:56]  Witty and
[00:35:56 -> 00:35:58]  I to live off of.
[00:35:58 -> 00:35:59]  Very meager funds, okay?
[00:35:59 -> 00:36:02]  We're gonna, we're gonna, we might, we might start
[00:36:02 -> 00:36:03]  a Zeppelin business
[00:36:03 -> 00:36:06]  in the future, so we're gonna need this, alright?
[00:36:10 -> 00:36:11]  Yeah, that's right.
[00:36:12 -> 00:36:13]  Yeah, that's right.
[00:36:13 -> 00:37:39]  All right.
[00:37:40 -> 00:37:41]  Let's do it.
[00:37:41 -> 00:38:12]  We have, we have too much healing.
[00:38:13 -> 00:39:34]  Yeah, I'm not an animal person.
[00:39:39 -> 00:39:39]  Oh!
[00:41:42 -> 00:41:44]  Can I talk with, um, at some point
[00:41:44 -> 00:41:46]  during the day, can I have a conversation
[00:41:46 -> 00:41:56]  with Alara? Oh.
[00:42:16 -> 00:42:18]  Oh, no, I can, um, I don't mind
[00:42:18 -> 00:42:19]  if everyone overhears.
[00:42:21 -> 00:42:22]  Um,
[00:42:22 -> 00:42:24]  so,
[00:42:24 -> 00:42:26]  I'm writing with Alara.
[00:42:26 -> 00:42:27]  Um, okay.
[00:42:28 -> 00:42:29]  Um,
[00:42:30 -> 00:42:32]  Alara, um,
[00:42:32 -> 00:42:33]  what, what, what do you know,
[00:42:34 -> 00:42:36]  or can you explain your relationship with
[00:42:36 -> 00:42:37]  Proctor Edward?
[00:42:56 -> 00:42:59]  But, what, what do you think of him?
[00:42:59 -> 00:43:00]  Do you like him?
[00:43:14 -> 00:43:16]  Um, I'm, I go into
[00:43:16 -> 00:43:18]  my most, uh,
[00:43:19 -> 00:43:20]  cherub-looking, like,
[00:43:20 -> 00:43:22]  halfling state that I could
[00:43:22 -> 00:43:24]  muster, and
[00:43:24 -> 00:43:26]  I, I walk over
[00:43:26 -> 00:43:28]  the shortnesses and sit
[00:43:28 -> 00:43:30]  beside her, and I put my
[00:43:30 -> 00:43:32]  hand on
[00:43:32 -> 00:43:34]  Alara, uh, Alara's
[00:43:34 -> 00:43:36]  head. Okay.
[00:43:36 -> 00:43:38]  I put it, I try to put it on
[00:43:38 -> 00:43:40]  her, uh,
[00:43:40 -> 00:43:41]  um, her knee.
[00:43:41 -> 00:43:42]  Okay.
[00:43:48 -> 00:43:49]  Look, Alara,
[00:43:50 -> 00:43:52]  there comes a time when
[00:43:52 -> 00:43:54]  we have to face some hard truths
[00:43:54 -> 00:43:56]  in life, and
[00:43:56 -> 00:43:58]  I just need you to be prepared,
[00:43:59 -> 00:44:00]  and I know that we haven't
[00:44:00 -> 00:44:04]  gotten along swimmingly
[00:44:04 -> 00:44:05]  so far, but,
[00:44:06 -> 00:44:08]  um, I overheard
[00:44:08 -> 00:44:10]  something that
[00:44:10 -> 00:44:12]  Proctor Edward said during
[00:44:12 -> 00:44:14]  the party, and
[00:44:14 -> 00:44:16]  I need you to hear it, I need
[00:44:16 -> 00:44:18]  you to trust me, and then
[00:44:18 -> 00:44:20]  I need you to
[00:44:20 -> 00:44:22]  understand what I'm,
[00:44:22 -> 00:44:23]  what I'm, what I'm experiencing.
[00:44:25 -> 00:44:26]  Um, and so,
[00:44:26 -> 00:44:28]  during the party,
[00:44:28 -> 00:44:30]  uh, I stealthily
[00:44:30 -> 00:44:32]  overheard some
[00:44:32 -> 00:44:34]  of the bigwigs
[00:44:34 -> 00:44:36]  at the party, uh,
[00:44:36 -> 00:44:38]  um, it was the
[00:44:38 -> 00:44:40]  Duke and the
[00:44:40 -> 00:44:42]  the Princess
[00:44:42 -> 00:44:44]  and, um,
[00:44:44 -> 00:44:45]  Proctor Edward and
[00:44:45 -> 00:44:48]  Donathan Reeves, um,
[00:44:48 -> 00:44:50]  and they were
[00:44:50 -> 00:44:51]  kind of nefariously
[00:44:51 -> 00:44:53]  talking about,
[00:44:53 -> 00:44:56]  um, the
[00:44:56 -> 00:44:58]  the light crystal
[00:44:58 -> 00:45:00]  shenanigans that we've been
[00:45:00 -> 00:45:02]  dealing with. Um,
[00:45:02 -> 00:45:03]  Proctor Edward is,
[00:45:04 -> 00:45:05]  seems to be intimately aware,
[00:45:06 -> 00:45:08]  and I know that
[00:45:08 -> 00:45:10]  you might, um,
[00:45:10 -> 00:45:12]  I know that you trust him,
[00:45:12 -> 00:45:14]  but he seemed to have been in
[00:45:14 -> 00:45:16]  cahoots with Donathan
[00:45:16 -> 00:45:18]  Reeves and the Duke,
[00:45:18 -> 00:45:19]  and, um,
[00:45:21 -> 00:45:44]  yeah, yeah, I know I
[00:45:44 -> 00:45:45]  haven't really established
[00:45:45 -> 00:45:48]  an, uh, an aura of, uh,
[00:45:48 -> 00:45:49]  trust in the things that I've done
[00:45:49 -> 00:45:50]  so far,
[00:45:50 -> 00:45:52]  but,
[00:45:52 -> 00:45:57]  going through, Baradun's going through a lot of trouble,
[00:45:57 -> 00:45:58]  his head's like,
[00:46:01 -> 00:46:03]  okay,
[00:46:04 -> 00:46:05]  um, I also,
[00:46:06 -> 00:46:08]  I, you know, I, I, I, I
[00:46:08 -> 00:46:10]  relayed this conversation to
[00:46:10 -> 00:46:11]  Nyx, and,
[00:46:11 -> 00:46:12]  um,
[00:46:14 -> 00:46:15]  who else was there? Was Isidore,
[00:46:15 -> 00:46:17]  Isidore was there, too, right after the
[00:46:17 -> 00:46:19]  party. Um,
[00:46:19 -> 00:46:21]  I didn't know how to use the record
[00:46:21 -> 00:46:24]  function on the sending stones, but
[00:46:24 -> 00:46:25]  just, just
[00:46:25 -> 00:46:26]  know this,
[00:46:26 -> 00:46:27]  that,
[00:46:27 -> 00:46:27]  that,
[00:46:27 -> 00:46:29]  that,
[00:46:29 -> 00:46:32]  that.
[00:46:35 -> 00:46:38]  Alari,
[00:46:38 -> 00:46:40]  there's one more thing that I, I, I think
[00:46:40 -> 00:46:42]  you should know, and I know, I know
[00:46:42 -> 00:46:44]  that you don't trust me or anything, but
[00:46:44 -> 00:46:46]  he specifically, Edward
[00:46:46 -> 00:46:48]  specifically mentioned
[00:46:48 -> 00:46:50]  you in this conversation,
[00:46:50 -> 00:46:52]  and he,
[00:46:52 -> 00:46:54]  he said that
[00:46:54 -> 00:46:56]  he had, um,
[00:46:56 -> 00:46:58]  he had you wrapped around
[00:46:58 -> 00:46:59]  his finger,
[00:47:00 -> 00:47:00]  um,
[00:47:00 -> 00:47:06]  okay, I'm just,
[00:47:07 -> 00:47:07]  oh,
[00:47:07 -> 00:47:07]  oh,
[00:47:08 -> 00:47:10]  I feel like I haven't done a good job
[00:47:10 -> 00:47:13]  of explaining the gravity of the situation to you.
[00:47:36 -> 00:47:52]  This is, you know, I'm taking that to heart,
[00:47:52 -> 00:47:56]  kind of reevaluating my whole MO here.
[00:47:57 -> 00:47:58]  All I need to do,
[00:47:58 -> 00:48:00]  I attempt to take her hand one last time.
[00:48:08 -> 00:48:10]  As one last plea,
[00:48:10 -> 00:48:15]  I'm going to cast my Disguise Self again.
[00:48:17 -> 00:48:22]  And in the manner,
[00:48:22 -> 00:48:25]  I'm going to disguise myself as Proctor Edward,
[00:48:25 -> 00:48:29]  and I'm going to repeat the words that I had heard
[00:48:29 -> 00:48:31]  and I had relayed to her.
[00:48:31 -> 00:48:35]  And I would like to roll a performance check
[00:48:35 -> 00:48:37]  to see how well I do.
[00:48:38 -> 00:48:39]  Is that fair?
[00:48:47 -> 00:48:47]  Yeah.
[00:49:03 -> 00:49:03]  Yeah.
[00:49:06 -> 00:49:07]  Yeah, yeah, yeah, yeah.
[00:49:07 -> 00:49:08]  I agree with it.
[00:49:08 -> 00:49:09]  Okay, that's fine.
[00:49:09 -> 00:49:12]  So do I just roll a d20,
[00:49:12 -> 00:49:13]  or can I roll my ability?
[00:49:15 -> 00:49:16]  Okay, okay, okay.
[00:49:16 -> 00:49:17]  I thought you said flat,
[00:49:17 -> 00:49:18]  so I was just kind of confused.
[00:49:22 -> 00:49:24]  Okay, I mean, it is flat.
[00:49:24 -> 00:49:24]  It's 10.
[00:49:28 -> 00:49:29]  Middle of the road.
[00:49:30 -> 00:49:32]  Middle of the road performance here.
[00:49:34 -> 00:49:34]  Okay.
[00:49:35 -> 00:49:37]  And I wrap up,
[00:49:37 -> 00:49:38]  and I think like,
[00:49:38 -> 00:49:39]  okay, that's going to do it.
[00:49:39 -> 00:49:40]  That's going to convince her.
[00:49:46 -> 00:49:56]  You are done.
[00:50:23 -> 00:50:24]  Just, just,
[00:50:24 -> 00:50:24]  just,
[00:50:25 -> 00:50:25]  careful.
[00:50:25 -> 00:50:26]  You, you, you,
[00:50:26 -> 00:50:27]  you understand that I,
[00:50:27 -> 00:50:27]  I,
[00:50:28 -> 00:50:28]  I,
[00:50:29 -> 00:50:32]  I just want you to be careful.
[00:50:33 -> 00:50:33]  You know that,
[00:50:33 -> 00:50:34]  that,
[00:50:34 -> 00:50:34]  that is true, right?
[00:50:50 -> 00:50:51]  I think that's successful.
[00:50:57 -> 00:51:03]  That was a,
[00:51:04 -> 00:51:04]  that was a,
[00:51:04 -> 00:51:08]  yeah.
[00:51:09 -> 00:51:13]  It's perfect.
[00:51:13 -> 00:51:13]  It's a,
[00:51:13 -> 00:51:15]  I think I nailed it.
[00:52:17 -> 00:52:19]  Yeah, I don't have anything.
[00:55:49 -> 00:55:49]  Wait.
[01:01:52 -> 01:02:24]  Is it a,
[01:02:24 -> 01:02:25]  is it a baby,
[01:02:25 -> 01:02:27]  or a toddler?
[01:02:27 -> 01:02:29]  It's a baby.
[01:02:32 -> 01:02:33]  Okay.
[01:02:37 -> 01:02:39]  I want to play with the baby.
[01:02:53 -> 01:02:54]  Oh, is he sleeping right now?
[01:02:54 -> 01:02:55]  Sorry about that.
[01:02:57 -> 01:02:57]  I, I have,
[01:02:58 -> 01:02:58]  yeah.
[01:03:07 -> 01:03:08]  Do you want to,
[01:03:08 -> 01:03:08]  like,
[01:03:09 -> 01:03:09]  yeah.
[01:03:09 -> 01:03:10]  Do you want to approach this
[01:03:10 -> 01:03:13]  from a out-of-character perspective?
[01:03:13 -> 01:03:13]  Do you want to,
[01:03:13 -> 01:03:14]  do you guys,
[01:03:14 -> 01:03:14]  do you,
[01:03:14 -> 01:03:15]  do you guys want to typically approach this
[01:03:15 -> 01:03:17]  like we're interrogating this person,
[01:03:17 -> 01:03:18]  or do we want to,
[01:03:18 -> 01:03:21]  do we want to accept it?
[01:03:21 -> 01:03:22]  Because we can do like the,
[01:03:22 -> 01:03:23]  the insight and,
[01:03:23 -> 01:03:23]  you know,
[01:03:23 -> 01:03:23]  the,
[01:03:23 -> 01:03:23]  the,
[01:03:23 -> 01:03:23]  the,
[01:03:23 -> 01:03:23]  the,
[01:03:23 -> 01:03:23]  the,
[01:03:23 -> 01:03:23]  the,
[01:03:23 -> 01:03:25]  the arcana check and everything
[01:03:25 -> 01:03:26]  if you want to go through it.
[01:03:36 -> 01:03:36]  Okay.
[01:03:36 -> 01:03:36]  Yeah.
[01:03:46 -> 01:03:47]  Passive perception.
[01:04:32 -> 01:04:33]  Yeah, I like that.
[01:04:33 -> 01:04:45]  Everyone else is oblivious.
[01:04:51 -> 01:04:51]  Oh,
[01:04:52 -> 01:04:52]  I like that.
[01:04:57 -> 01:04:58]  Oh,
[01:04:58 -> 01:04:59]  good roll.
[01:05:06 -> 01:05:07]  Shit.
[01:05:07 -> 01:05:07]  Oh,
[01:05:07 -> 01:05:07]  shit.
[01:05:47 -> 01:05:47]  Wait.
[01:06:01 -> 01:06:02]  Oh my God.
[01:06:02 -> 01:06:03]  That's genius.
[01:06:05 -> 01:06:16]  That's hilarious.
[01:07:14 -> 01:07:14]  Well,
[01:07:14 -> 01:07:14]  I mean,
[01:07:15 -> 01:07:15]  on the other side.
[01:07:57 -> 01:07:58]  Yeah.
[01:07:58 -> 01:07:58]  I'll,
[01:07:58 -> 01:08:05]  I'll,
[01:08:05 -> 01:08:06]  I'll try to be like,
[01:08:06 -> 01:08:08]  I'm kind of peeking around.
[01:08:08 -> 01:08:15]  I'm really interested in the baby because the din loves babies loves children.
[01:08:15 -> 01:08:17]  So I'm trying to get it like a closer look.
[01:08:17 -> 01:08:19]  I'm kind of like peeking over Isidore's,
[01:08:19 -> 01:08:21]  but I'm like sitting on his side,
[01:08:21 -> 01:08:21]  I guess.
[01:08:24 -> 01:08:25]  Yeah.
[01:08:48 -> 01:08:49]  This guy,
[01:09:39 -> 01:09:40]  Jesus.
[01:10:02 -> 01:10:03]  Casual,
[01:10:03 -> 01:10:03]  casual.
[01:10:49 -> 01:10:50]  So tense.
[01:11:02 -> 01:11:03]  Oh my God.
[01:11:09 -> 01:11:10]  Oh my God.
[01:11:15 -> 01:11:16]  I hope the baby is also an enemy.
[01:11:21 -> 01:11:26]  The demon,
[01:11:26 -> 01:11:27]  demon baby.
[01:11:56 -> 01:11:56]  Oh my God.
[01:12:38 -> 01:12:39]  Fourth level.
[01:13:06 -> 01:13:07]  Wow.
[01:15:25 -> 01:15:25]  Okay.
[01:15:25 -> 01:15:26]  We,
[01:15:26 -> 01:15:27]  we only see this bandit receiver,
[01:15:28 -> 01:15:28]  right?
[01:15:28 -> 01:15:29]  Bandit deceiver.
[01:15:29 -> 01:15:29]  Sorry.
[01:15:29 -> 01:15:30]  Right.
[01:15:30 -> 01:15:30]  That's the only.
[01:15:31 -> 01:15:31]  Okay.
[01:15:33 -> 01:15:34]  Okay.
[01:15:34 -> 01:15:36]  I'm going to whip out my,
[01:15:36 -> 01:15:38]  my double scimitars.
[01:15:41 -> 01:15:47]  I cast my phantom hex on her.
[01:15:48 -> 01:15:51]  Um,
[01:15:51 -> 01:15:53]  this is just,
[01:15:53 -> 01:15:54]  this is just a bonus.
[01:15:54 -> 01:15:54]  This is like,
[01:15:54 -> 01:15:55]  uh,
[01:15:55 -> 01:15:57]  this is like hex except my own version.
[01:15:57 -> 01:15:58]  It's uh,
[01:15:59 -> 01:15:59]  um,
[01:15:59 -> 01:16:03]  she just has disadvantage on ability checks.
[01:16:03 -> 01:16:04]  Um,
[01:16:08 -> 01:16:08]  no,
[01:16:08 -> 01:16:08]  no,
[01:16:08 -> 01:16:09]  this is,
[01:16:09 -> 01:16:09]  this is like,
[01:16:09 -> 01:16:10]  um,
[01:16:10 -> 01:16:10]  this is like hex.
[01:16:10 -> 01:16:12]  This is like the hex cast.
[01:16:12 -> 01:16:12]  Um,
[01:16:12 -> 01:16:12]  it's a,
[01:16:12 -> 01:16:13]  it's a,
[01:16:13 -> 01:16:17]  it's a bonus action and it every time until the spell ends.
[01:16:18 -> 01:16:18]  Um,
[01:16:19 -> 01:16:23]  I deal extra one D six psychic damage on the target whenever I hit it with an attack.
[01:16:28 -> 01:16:28]  Yeah,
[01:16:28 -> 01:16:29]  I can,
[01:16:29 -> 01:16:29]  I can,
[01:16:29 -> 01:16:31]  I can combo this with other people.
[01:16:31 -> 01:16:33]  I just don't know what you guys are.
[01:16:33 -> 01:16:34]  If you could,
[01:16:34 -> 01:16:35]  if you guys have any like,
[01:16:35 -> 01:16:35]  um,
[01:16:36 -> 01:16:38]  ability checks that you use with your spells,
[01:16:38 -> 01:16:38]  just let me know.
[01:16:38 -> 01:16:40]  Cause I can make her have a disadvantage on it.
[01:16:45 -> 01:16:45]  Yeah.
[01:16:47 -> 01:16:47]  I,
[01:16:47 -> 01:16:48]  yeah.
[01:16:50 -> 01:16:50]  Yeah.
[01:16:50 -> 01:16:51]  I think like,
[01:16:51 -> 01:16:52]  yeah.
[01:16:52 -> 01:16:52]  So I'll go ahead.
[01:16:53 -> 01:16:54]  What were you gonna say?
[01:17:14 -> 01:17:15]  I think it's like,
[01:17:16 -> 01:17:17]  yeah.
[01:17:19 -> 01:17:19]  Yeah.
[01:17:19 -> 01:17:19]  Yeah.
[01:17:19 -> 01:17:20]  Yeah.
[01:17:21 -> 01:17:21]  Yeah.
[01:17:21 -> 01:17:22]  Yeah.
[01:17:22 -> 01:17:22]  Yeah.
[01:17:22 -> 01:17:38]  Yeah.
[01:17:38 -> 01:17:38]  Yeah.
[01:17:38 -> 01:17:38]  Yeah.
[01:17:38 -> 01:17:38]  Yeah.
[01:17:38 -> 01:17:38]  Yeah.
[01:17:38 -> 01:17:38]  Yeah.
[01:17:38 -> 01:17:38]  Yeah.
[01:17:38 -> 01:17:38]  Yeah.
[01:17:38 -> 01:17:38]  Yeah.
[01:17:38 -> 01:17:41]  Yeah.
[01:17:41 -> 01:17:42]  I know you're supposed to like,
[01:17:42 -> 01:17:42]  like when,
[01:17:42 -> 01:17:44]  whenever they ask for like a save or something,
[01:17:44 -> 01:17:46]  that's when usually we can,
[01:17:46 -> 01:17:47]  we can use it.
[01:17:50 -> 01:17:51]  Yeah.
[01:17:51 -> 01:17:52]  So I don't know.
[01:17:52 -> 01:17:55]  Usually it's like wisdom or something or things that could happen.
[01:17:55 -> 01:17:56]  So I'm,
[01:17:56 -> 01:17:56]  I'm just gonna,
[01:17:56 -> 01:18:05]  it's just a disadvantage.
[01:18:07 -> 01:18:07]  Yeah.
[01:18:10 -> 01:18:10]  He can,
[01:18:10 -> 01:18:11]  he can,
[01:18:11 -> 01:18:11]  she can break concentration.
[01:18:12 -> 01:18:12]  Yeah.
[01:18:19 -> 01:18:19]  Um,
[01:18:20 -> 01:18:20]  anyway.
[01:18:20 -> 01:18:21]  Uh,
[01:18:21 -> 01:18:21]  okay.
[01:18:21 -> 01:18:21]  Yeah.
[01:18:21 -> 01:18:21]  I'll,
[01:18:21 -> 01:18:22]  I'll just choose wisdom,
[01:18:22 -> 01:18:22]  I guess.
[01:18:23 -> 01:18:23]  Um,
[01:18:23 -> 01:18:24]  and then I'm gonna,
[01:18:24 -> 01:18:25]  I'm gonna,
[01:18:25 -> 01:18:28]  I'm gonna do my attack with the scimitars.
[01:18:29 -> 01:18:29]  Um,
[01:18:29 -> 01:18:31]  yeah,
[01:18:31 -> 01:18:32]  let me move into range.
[01:18:32 -> 01:18:32]  Sorry.
[01:18:33 -> 01:18:33]  Uh,
